Trial,N,Source,Drug,Target,Cancer type,No. of treated patients,Dose,cutoff for all grade,cutoff for grades 3 or higher,All Grade,Grade 3-5,Infusion-related reaction (All Grade),Infusion-related reaction (Grade 3-5),Hypersensitivity (All Grade),Hypersensitivity (Grade 3-5),Influenza-like illness (All Grade),Influenza-like illness (Grade 3-5),Pyrexia (All Grade),Pyrexia (Grade 3-5),Chills (All Grade),Chills (Grade 3-5),Fatigue (All Grade),Fatigue (Grade 3-5),Pruritus (All Grade),Pruritus (Grade 3-5),Weight decreased (All Grade),Weight decreased (Grade 3-5),Insomnia (All Grade),Insomnia (Grade 3-5),Malaise (All Grade),Malaise (Grade 3-5),Uveitis (All Grade),Uveitis (Grade 3-5),Dry mouth (All Grade),Dry mouth (Grade 3-5),Stomatitis (All Grade),Stomatitis (Grade 3-5),Mucosal inflammation   (All Grade),Mucosal inflammation   (Grade 3-5),Hypertension (All Grade),Hypertension (Grade 3-5),Hypotension (All Grade),Hypotension (Grade 3-5),Edema peripheral (All Grade),Edema peripheral (Grade 3-5),Pneumonitis (All Grade),Pneumonitis (Grade 3-5),Dyspnea (All Grade),Dyspnea (Grade 3-5),Cough (All Grade),Cough (Grade 3-5),Pneumonia (All Grade),Pneumonia (Grade 3-5),Hypoxia (All Grade),Hypoxia (Grade 3-5),Decreased appetite (All Grade),Decreased appetite (Grade 3-5),Dehydration (All Grade),Dehydration (Grade 3-5),Nausea (All Grade),Nausea (Grade 3-5),Vomiting (All Grade),Vomiting (Grade 3-5),Diarrhea (All Grade),Diarrhea (Grade 3-5),Constipation (All Grade),Constipation (Grade 3-5),Abdominal pain (All Grade),Abdominal pain (Grade 3-5),Colitis (All Grade),Colitis (Grade 3-5),Alanine aminotransferase increased (ALT) (All Grade),Alanine aminotransferase increased (ALT) (Grade 3-5),Aspartate aminotransferase increased (AST) (All Grade),Aspartate aminotransferase increased (AST) (Grade 3-5),Blood alkaline phosphatase increased  (ALP) (All Grade),Blood alkaline phosphatase increased  (ALP) (Grade 3-5),?-Glutamyl transferase increased (GGT) (All Grade),?-Glutamyl transferase increased (GGT) (Grade 3-5),Pancreatitis   (All Grade),Pancreatitis   (Grade 3-5),Lipase increased (All Grade),Lipase increased (Grade 3-5),Amylase increased (All Grade),Amylase increased (Grade 3-5),Bilirubin increase (All Grade),Bilirubin increase (Grade 3-5),Hepatitis (All Grade),Hepatitis (Grade 3-5),Increased transaminases (All Grade),Increased transaminases (Grade 3-5),Pain (All Grade),Pain (Grade 3-5),Myalgia (All Grade),Myalgia (Grade 3-5),Pain in extremity (All Grade),Pain in extremity (Grade 3-5),Back pain (All Grade),Back pain (Grade 3-5),Arthralgia (All Grade),Arthralgia (Grade 3-5),Rash (All Grade),Rash (Grade 3-5),Rash maculo-papular (All Grade),Rash maculo-papular (Grade 3-5),Erythema (All Grade),Erythema (Grade 3-5),Dry skin (All Grade),Dry skin (Grade 3-5),Vitiligo (All Grade),Vitiligo (Grade 3-5),Alopecia   (All Grade),Alopecia  (Grade 3-5),Headache (All Grade),Headache (Grade 3-5),Dizziness (All Grade),Dizziness (Grade 3-5),Asthenia (All Grade),Asthenia (Grade 3-5),Dysgeusia (All Grade),Dysgeusia (Grade 3-5),Peripheral neuropathy (All Grade),Peripheral neuropathy (Grade 3-5),Thyroiditis (All Grade),Thyroiditis (Grade 3-5),Hypothyroidism (All Grade),Hypothyroidism (Grade 3-5),Hyperthyroidism (All Grade),Hyperthyroidism (Grade 3-5),Blood thyroid-stimulating hormone (TSH) decreased (All Grade),Blood thyroid-stimulating hormone (TSH) decreased (Grade 3-5),Blood thyroid-stimulating (TSH) hormone increased (All Grade),Blood thyroid-stimulating hormone (TSH) increased (Grade 3-5),Hypophysitis (All Grade),Hypophysitis (Grade 3-5),Adrenal insufficiency (All Grade),Adrenal insufficiency (Grade 3-5),Type 1 diabetes (All Grade),Type 1 diabetes (Grade 3-5),Hypopituitarism (All Grade),Hypopituitarism (Grade 3-5),Hyperglycemia (All Grade),Hyperglycemia (Grade 3-5),Autoimmune thyroiditis (All Grade),Autoimmune thyroiditis (Grade 3-5),Blood creatinine increased (All Grade),Blood creatinine increased (Grade 3-5),White blood cell decreased (All Grade),White blood cell decreased (Grade 3-5),Platelet count decreased (All Grade),Platelet count decreased (Grade 3-5),Anemia (All Grade),Anemia (Grade 3-5),Lymphopenia (All Grade),Lymphopenia (Grade 3-5),Neutropenia (All Grade),Neutropenia (Grade 3-5),Hyponatremia (All Grade),Hyponatremia (Grade 3-5),Hypophosphatemia (All Grade),Hypophosphatemia (Grade 3-5)
1,33,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,6,1 mg/kg Q4W,0,0,,,0,0,0,0,,,1,0,,,0,0,,,,,,,,,,,,,0,0,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,1,0,0,0,0,0,,,,
1,,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,6,3 mg/kg Q4W,0,0,,,0,0,1,0,,,0,0,,,3,0,,,,,,,,,,,,,0,0,,,0,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,2,0,0,0,,,,
1,,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,21,10 mg/kg Q4W,0,0,,,2,0,0,0,,,0,0,,,3,1,,,,,,,,,,,,,1,0,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,1,0,,,,,,,,,1,0,6,1,0,0,,,,
2,259,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,79,1 mg/kg Q2W,2,2,39,5,,,,,,,,,,,,,13,0,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,15,0,,,,,,,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,,,,,,,3,0,2,0,,,,,,,,,,,,,2,0,0,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,50,3 mg/kg Q2W,2,2,19,2,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,3,0,,,,,,,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,2,0,0,0,,,,,,,,,,,,,1,0,1,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,130,10 mg/kg Q2W,2,2,50,11,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,12,3,,,,,,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,,0,0,1,0,,,,,,,,,,,,,3,1,1,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,72,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,35,1 mg/kg Q2W,2,2,34,5,2,0,,,,,1,0,,,12,1,8,0,1,0,,,,,,,4,1,,,,,,,0,0,,,,,,,2,0,,,,,0,0,,,3,0,1,0,10,0,,,5,0,,,3,0,2,0,,,,,,,,,,,,,,,,,1,0,2,0,,,,,4,0,13,0,,,,,,,4,0,,,,,,,,,,,,,,,1,0,,,,,2,0,,,,,,,,,,,,,,,1,0,3,0,,,1,0,,,,,1,1
3,,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,17,3 mg/kg Q2W,2,2,15,6,3,0,,,,,0,0,,,8,0,3,0,3,0,,,,,,,1,0,,,,,,,1,0,,,,,,,1,0,,,,,2,0,,,3,0,1,0,2,0,,,1,1,,,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,,,,,1,0,2,0,,,,,,,2,0,,,,,,,,,,,,,,,1,0,,,,,0,0,,,,,,,,,,,,,,,1,0,1,1,,,3,2,,,,,2,0
3,,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,20,10 mg/kg Q2W,2,2,14,5,0,0,,,,,2,0,,,4,0,2,0,0,0,,,,,,,1,0,,,,,,,2,0,,,,,,,0,0,,,,,2,0,,,2,1,2,1,4,2,,,2,1,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,4,0,,,,,,,0,0,,,,,,,,,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,1,0,1,0,,,0,0,,,,,0,0
4,23,2015-Ansell-N Engl J Med,Nivolumab,PD-1,Hematologic malignancy,23,3 mg/kg Q2W,1,1,18,5, ,  , ,  , ,  ,3,0, ,  ,3,0,3,0, ,  , ,  ,,, ,  , ,  ,2,1, ,  , ,  , ,  , ,  ,1,1, ,  ,2,0,,,,, ,  , ,  ,3,0, ,  ,3,0, ,  , ,  , ,  , ,  , ,  , ,  , ,  ,1,1,2,1,,,,,,,,, ,  , ,  , ,  , ,  , ,  ,5,0, ,  , ,  ,,  , ,  , ,  , ,  , ,  , ,  , ,  , ,  , ,  ,2,0,,,,,,, ,  , ,  ,,,,,,,,, ,  , ,  ,4,0, ,  ,2,1, ,  ,,,2,0
